,Dowdall,Formula 1,Top 10
0,0.017543859649122806,0.008771929824561403,0.0
1,0.06140350877192982,0.008771929824561403,0.0
2,0.14035087719298245,0.03508771929824561,0.0
3,0.15789473684210525,0.06140350877192982,0.008771929824561403
4,0.14035087719298245,0.043859649122807015,0.017543859649122806
5,0.08771929824561403,0.05263157894736842,0.02631578947368421
6,0.07894736842105263,0.07017543859649122,0.05263157894736842
7,0.10526315789473684,0.08771929824561403,0.08771929824561403
8,0.11403508771929824,0.13157894736842105,0.08771929824561403
9,0.20175438596491227,0.2631578947368421,0.21929824561403508
